,Gebiedscode,meting,date,doy,dop,plastic_6_packringen,plastic_tassen,plastic_kleine_plastic_tasjes,plastic_drankflessen_groterdan_halveliter,plastic_drankflessen_kleinerdan_halveliter,plastic_wikkels_van_drankflessen,plastic_verpakking_van_schoonmaakmiddelen,plastic_voedselverpakkingen_frietbakjes_etc,plastic_cosmeticaverpakkingen,plastic_motorolieverpakking_groterdan50cm,plastic_jerrycans,plastic_kratten,plastic_auto_onderdelen,plastic_doppen_en_deksels,plastic_aanstekers,plastic_speelgoed,plastic_plastic_bekers_of_delen_daarvan,plastic_netzakken,plastic_handschoenen_huishoudelijk,plastic_handschoenen_professioneel,plastic_touw_diameter_groterdan_1cm,plastic_touw_diameter_kleinerdan_1cm,plastic_sportvisspullen,plastic_breekstaafjes,plastic_emmers,plastic_industrieel_verpakkingsmateriaal,plastic_helmen,plastic_geweerpatronen,plastic_schoenen,plastic_plastic_stukjes_0_2_5cm_hard_plastic,plastic_plastic_stukjes_2_5_50cm_hard_plastic,plastic_plastic_stukjes_0_2_5cm_zacht_plastic,plastic_plastic_stukjes_2_5_50cm_zacht_plastic,plastic_overig_plastic,plastic_piepschuim_0_2_5cm,plastic_piepschuim_2_5_50cm,plastic_piepschuim_voedselverpakkingen,plastic_plastic_folies_groterdan_50cm,plastic_hard_plastic_groterdan_50cm,plastic_rietjes,plastic_snoep_snack_chipsverpakking,plastic_piepschuim_groterdan_50cm,plastic_piepschuim_bekers,plastic_bestek,plastic_biofilm_waterfiltertjes,plastic_kitspuiten,plastic_kunststof_band_tiewraps,plastic_lolliestokjes,plastic_motorolieverpakking_kleinerdan50cm,plastic_vuilniszakken,plastic_schrijfwaren,plastic_visdraad,plastic_vuurwerk,plastic_borden_new,plastic_roerstaafjes_new,plastic_bloempotten_new,plastic_plakband_new,rubber_ballonnen,rubber_banden,rubber_overig_rubber,textiel_kleding,textiel_vloerbedekking,textiel_schoeisel,textiel_overig_textiel,papier_tassen,papier_karton,papier_sigarettenverpakking,papier_sigarettenfilters,papier_kartonnen_bekers,papier_kranten,papier_papier_overig,papier_drankkarton,papier_ondefinieerbaar,hout_kurk,hout_pellets,hout_ijsstokjes,hout_kwasten,hout_overig_hout_keinderdan_50cm,hout_overig_hout_groterdan_50cm,metaal_aluminiumfolie,metaal_capsules,metaal_drankblikjes,metaal_elektriciteitsdraad,metaal_oud_ijzer,metaal_kroonkurken,metaal_oliedrum,metaal_omheinigsdraad_prikkeldraad,metaal_spuitbussen,metaal_verfblik,metaal_vislood,metaal_voedselblikken,metaal_wegwerpbarbecues,metaal_overig_metaal_kleinerdan_50cm,metaal_overig_metaal_groterdan_50cm,glas_flessen_pottten,glas_lampen_tl_lampen,glas_overig_glas,sanitair_cosmetica,sanitair_plastic_wattenstaafjes,sanitair_kartonnen_wattenstaafjes,sanitair_vochtige_doekjes,sanitair_condooms,sanitair_maandverband_en_verpakkingen_ervan,sanitair_plastic_kam_borstel,sanitair_tampons_en_tamponapplicators,sanitair_tissues_wc_papier,sanitair_toiletverfrissers,sanitair_overig_sanitair,medisch_verpakkingen,medisch_spuiten,medisch_overig_medisch,granulaat_korrels,sum_plastic,sum_rubber,sum_textiel,sum_papier,sum_hout,sum_metaal,sum_glas,sum_sanitair,sum_medisch,date_lag_1d,date_lag_2d,date_lag_7d,date_lag_14d,date_lag_1m,date_lag_6m,P_1d_sum,P_2d_sum,P_7d_sum,P_14d_sum,P_1m_sum,P_6m_sum,P_1d_max,P_2d_max,P_7d_max,P_14d_max,P_1m_max,P_6m_max,U_1d_max,U_2d_max,U_7d_max,U_14d_max,U_1m_max,U_6m_max,U_1d_mean,U_2d_mean,U_7d_mean,U_14d_mean,U_1m_mean,U_6m_mean,h_2d_max_above_current,h_7d_max_above_current,h_14d_max_above_current,h_1m_max_above_current,h_6m_max_above_current
0,W(078a)R-ZHNL,0,20171021,294.0,293.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,3.0,4.0,0.0,2.0,,,0.0,,17.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,25.0,0.0,0.0,8.0,3.0,,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,11.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,5.0,,0.0,,,0.0,0.0,0.0,1.0,,0.0,2.0,0.0,0.0,0.0,0.0,65.0,0.0,4.0,43.0,5.0,34.0,16.0,3.0,0.0,20171020,20171019,20171014,20171007,20170921,20170421,1.333005843290911,5.952432507020333,6.090623098691887,11.205626213497514,57.568914125976605,416.88506726361777,1.333005843290911,4.655910798508428,4.655910798508428,4.993746977457136,16.73221437175637,32.59048405866929,6.1631817689660275,7.006598476567907,7.006598476567907,7.308222257443631,7.9839612120088335,9.347291673867499,6.1631817689660275,6.568233053445539,4.08463697942831,4.213914355518986,4.078946425654621,3.7920641851504118,4.846916364396946e-08,0.004930853586117999,1.7233203877043753e-06,0.46853844818428864,0.682018510495522
1,W(074b)R-REFE,0,20171103,307.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,21.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,3.0,5.0,12.0,2.0,0.0,8.0,,,0.0,,57.0,,,5.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,,3.0,,,1.0,3.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,162.0,2.0,1.0,19.0,0.0,7.0,8.0,8.0,0.0,20171102,20171101,20171027,20171020,20171003,20170503,0.17054727177978482,0.2716475790400191,3.338246151620515,18.827616270847532,60.50110429722565,403.90639889895516,0.17054727177978482,0.20380677363617347,1.9929624172825142,12.413764862405884,15.836881667548122,30.18374693889254,2.120634659283879,2.8839258370561445,7.389622700275342,7.4354164746973295,7.799503992970742,9.196685662375739,2.120634659283879,2.497071653483831,4.31382571368031,4.568566586114625,4.477953864983796,3.6932482944293756,0.0029242933440003977,0.34946577976593257,0.4260177176506357,0.3120408258826532,0.606790302186811
2,W(062a)L-GENL,0,20171016,289.0,288.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,4.0,0.0,0.0,,,0.0,,3.0,,,0.0,,0.0,0.0,,0.0,,2.0,0.0,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,36.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,95.0,,1.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,40.0,0.0,39.0,98.0,2.0,0.0,20171015,20171014,20171009,20171002,20170916,20170416,0.0005666196427585088,0.0005666196427585088,1.8615723086714338,38.14341719859603,54.79860868757415,410.49598711127817,0.0005666196427585088,0.0005666196427585088,1.7506732740275446,15.136868039434932,15.945824789957571,30.838842516183245,3.5839300208232356,3.5865301548103066,6.6428163595198315,7.717086584948715,7.7314906154043985,9.18326824551165,3.5839300208232356,3.3483143581864647,4.396598054692596,4.6330675815289135,3.6250836859400573,3.629218633710284,2.4248451497448107e-05,0.06599267846118956,0.37901956002639003,0.1117740256223526,0.9874209671650805
3,W(048a)L-GENL,0,20171004,277.0,276.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,7.0,7.0,0.0,0.0,,,2.0,,10.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.0,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,0.0,7.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,57.0,0.0,1.0,27.0,5.0,17.0,22.0,2.0,1.0,20171003,20171002,20170927,20170920,20170904,20170404,0.9445144703797113,1.7278414145022438,19.548805388701343,19.91131465495592,115.59090627050041,399.39139450460976,0.9445144703797113,1.1658166730035437,10.398821686086329,10.398821686086329,26.54464826219504,35.430418519781156,6.2110322524326085,6.21978236008666,6.983174656390012,6.983174656390012,9.27127676990344,9.329850738633503,6.2110322524326085,5.565908377801329,4.505315362210193,3.4085042181476113,4.0921142557118575,3.716959823680747,0.0011277675652839575,0.07901709029311274,0.005492105120821021,1.1781290413579817,0.5698536995978057
4,W(046a)L-GENL,0,20171002,275.0,274.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,0.0,4.0,,,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,,1.0,,,0.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,6.0,0.0,3.0,5.0,3.0,0.0,20171001,20170930,20170925,20170918,20170902,20170402,1.7211676400044562,1.7460803839038535,18.030129971422635,18.78817503686831,114.4142404241764,398.87186942616876,1.7211676400044562,1.7211676400044562,10.571720271342471,10.583034248513568,26.648303815330713,35.50256533977062,6.863262637178929,6.940763551731018,6.940763551731018,6.940763551731018,9.278744187552695,9.337702553047203,6.863262637178929,6.1851352798388275,3.646694384435528,2.9872802695764182,3.8761201110621206,3.680690673890339,0.04216664615328927,0.00097291328095694,0.0,1.2836163503005775,0.45809473935384437
5,W(042a)L-GENL,0,20171004,277.0,276.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,7.0,2.0,0.0,0.0,,,3.0,,4.0,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,20171003,20171002,20170927,20170920,20170904,20170404,0.954349488431008,1.7171568573269338,20.854945399214838,21.23562699399027,117.12164102197728,403.9965020784196,0.954349488431008,1.1692654283211346,11.228950732954287,11.228950732954287,26.928687689453056,36.08636455907909,6.246726113498975,6.256243358797174,7.025830148063849,7.025830148063849,9.294489584495997,9.353686043074246,6.246726113498975,5.588457783304197,4.518981897111837,3.4238887436497425,4.109785762121428,3.7312886407476133,0.0013979078832343555,0.0012457060536878643,0.00018455322556606727,1.1979636973912495,0.5821961692435843
6,W(041a)R-GENL,0,20171007,280.0,279.0,0.0,0.0,9.0,7.0,8.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,1.0,26.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,5.0,36.0,35.0,6.0,35.0,0.0,9.0,,,0.0,,18.0,,,0.0,,0.0,1.0,,0.0,,1.0,0.0,,,,,,1.0,0.0,16.0,2.0,2.0,12.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,234.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,1.0,,0.0,,,0.0,3.0,4.0,0.0,,0.0,6.0,0.0,0.0,2.0,0.0,225.0,17.0,40.0,2.0,2.0,246.0,6.0,13.0,2.0,20171006,20171005,20170930,20170923,20170907,20170407,9.792455580038444,14.537442773328614,31.959089272418314,49.55696027744036,138.16213925551085,432.54553227468745,9.792455580038444,9.882095628731596,14.306566343105208,16.525603043913723,27.465471031013834,36.2845027170177,6.07925616998447,6.203667490661438,7.773220408090712,7.773220408090712,9.306149024598401,9.363360612913755,6.07925616998447,5.583726725736416,6.055678048816712,4.338906761358889,4.288756160190799,3.771972989474847,0.17531669117194915,0.4328805320716684,0.0046606086643946176,0.30315032669288,0.8461036645478854
7,W(038b)R-GENL,0,20171011,284.0,283.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,3.0,13.0,1.0,0.0,2.0,,,0.0,,7.0,,,0.0,,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,10.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,62.0,3.0,2.0,8.0,7.0,18.0,4.0,0.0,0.0,20171010,20171009,20171004,20170927,20170911,20170411,0.7566022876005997,1.170210783982115,33.0130600486734,54.61895170276361,102.67819225481033,437.05968656167954,0.7566022876005997,1.0280590726341767,14.086980778388178,16.381476457959295,21.32038148348116,36.55665161998589,7.21067249424679,7.21067249424679,7.880600834765093,7.91166571777949,9.13874517505479,9.339923663225814,7.21067249424679,6.177921951204716,5.2194627720991065,4.8610652747454886,4.066769693100477,3.789052037941791,0.041485605480456496,0.5939495781935089,0.6284820503134385,0.4288538345017832,1.133129929751811
8,W(038a)L-GENL,0,20171002,275.0,274.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,,,0.0,,4.0,,,0.0,,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,56.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,,1.0,,,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,60.0,0.0,14.0,92.0,4.0,0.0,20171001,20170930,20170925,20170918,20170902,20170402,2.045617446910248,2.070136126588052,20.14067428227131,20.926659763133042,114.42219825025445,402.5269893151968,2.045617446910248,2.045617446910248,11.562094944841633,11.573127408144718,26.71862223175061,36.646135445652845,6.883771996569375,6.965129225366499,6.965129225366499,6.965129225366499,9.255250889277907,9.311622781049264,6.883771996569375,6.188288150707412,3.6358792162999793,2.972556964541153,3.8731807185892344,3.6687642907816573,0.048274435355457314,0.0014642886697408383,0.0,1.2896533922389073,0.4618245629431072
9,W(031a)R-GENL,0,20171008,281.0,280.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,6.0,4.0,3.0,0.0,0.0,,,0.0,,17.0,,,3.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,,,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,66.0,1.0,0.0,2.0,0.0,5.0,3.0,2.0,1.0,20171007,20171006,20171001,20170924,20170908,20170408,0.6225466530143569,9.729938690953826,31.16510408890556,50.78278011528925,115.0665987151433,431.111969410763,0.6225466530143569,9.10739203793947,13.557633790122882,15.933049728377208,21.59357977593295,36.61727039202522,2.645808835680955,6.048875497271538,7.476330808416753,7.520950676641489,9.049633679283454,9.093824624213545,2.645808835680955,4.347342166476246,5.516414042951895,4.237306559748556,4.048434481767427,3.6619624077922106,0.13991889762887216,0.5516459964149516,0.26941084850134583,0.3310800058038884,0.9253005416603122
10,W(022b)R-REFE,0,20170810,222.0,221.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,77.0,7.0,0.0,0.0,3.0,,,1.0,,11.0,,,3.0,,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,33.0,,,0.0,6.0,0.0,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,147.0,1.0,0.0,27.0,0.0,5.0,8.0,41.0,1.0,20170809,20170808,20170803,20170727,20170710,20170210,4.085498705705739,4.235166813551146,12.830250946949503,24.45444376824969,101.97444847610703,360.95391712256895,4.085498705705739,4.182765871448074,6.756252596880789,9.13611873588668,30.938074049604804,32.00308676910088,1.96624436180936,3.7077142714998645,5.743059475168593,6.551134088894467,6.558030245580876,10.190197349752287,1.96624436180936,2.8332215354270915,3.130976965541252,3.623303982833985,3.4647523327673357,3.8242824419573505,0.0,0.00016675731988839324,0.5235467821223213,1.1848502325616896,2.15230539116257
11,W(013a)R-GENL,0,20170924,267.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,11.0,21.0,9.0,0.0,6.0,,,2.0,,55.0,,,0.0,,0.0,1.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,28.0,,2.0,,,0.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,0.0,165.0,4.0,1.0,6.0,4.0,24.0,36.0,5.0,2.0,20170923,20170922,20170917,20170910,20170824,20170324,0.0,0.0,8.433344494414712,52.67358708698851,115.1898064122968,386.7067434817886,0.0,0.0,7.651477603032775,17.186210646401214,26.940142795030937,33.3563469860344,1.9768756310041724,1.977657947902072,2.87442909662935,8.53738628236763,8.53738628236763,8.568676267054476,1.9768756310041724,1.575147594237191,2.0259984121970924,3.5433725997488574,3.172820153350616,3.4221333111025203,0.0,0.0005208543253869294,0.4284567416122067,0.7713201973233956,0.005531510327996715
12,W(001a)R-REFE,0,20170704,185.0,184.0,0.0,3.0,9.0,27.0,0.0,0.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,27.0,4.0,3.0,9.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,27.0,60.0,4.0,0.0,14.0,,,5.0,,65.0,,,7.0,,1.0,0.0,,0.0,,1.0,0.0,,,,,,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.0,0.0,2.0,2.0,4.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0,1.0,3.0,,26.0,,,0.0,0.0,0.0,1.0,,1.0,2.0,0.0,1.0,0.0,0.0,327.0,6.0,0.0,67.0,2.0,9.0,18.0,30.0,1.0,20170703,20170702,20170627,20170620,20170604,20170104,0.35935041855933564,0.4294273742043779,34.706682854823846,43.221193413832154,67.17021260537138,299.57008252705606,0.35935041855933564,0.4294273742043779,21.417116875177243,21.481774291841635,23.03722638745511,25.03173102955985,2.0849917456145026,4.114342000809955,4.401112594813881,5.805374368577479,8.03857498415118,9.966265092637105,2.0849917456145026,3.09966687321223,3.281236756526719,3.8533904643870276,3.946593938535053,3.7983968113266307,0.02509319797034968,0.5742684384739004,0.3755131661884123,0.6472028690242169,4.164593634158291
13,M(082b)L-REFE,0,20170810,222.0,221.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,4.0,18.0,5.0,0.0,4.0,,,0.0,,29.0,,,1.0,,0.0,2.0,,0.0,,2.0,0.0,,,,,,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,2.0,0.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,,13.0,,,0.0,2.0,0.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,163.0,3.0,2.0,19.0,0.0,6.0,5.0,21.0,0.0,20170809,20170808,20170803,20170727,20170710,20170210,4.933757664214046,5.091909019019876,14.954469049732966,25.465472900428477,106.88275735414662,359.84239077744115,4.933757664214046,5.025291842146821,7.949881654631228,10.018053015479143,34.301636374281905,35.329254071273105,1.8548177075147614,3.579995861402769,5.560087942471199,6.275317919267894,6.284010238050727,10.282894739960351,1.8548177075147614,2.7132638465872483,3.026548024562992,3.5305570741819383,3.3887299717648633,3.7432601293062238,0.00812447081182686,0.004511042771024405,0.00997203283460246,0.02550989780391943,0.602601397393984
14,M(006b)R-REFE,0,20170704,185.0,184.0,0.0,6.0,11.0,7.0,0.0,11.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,11.0,0.0,0.0,32.0,12.0,76.0,0.0,0.0,5.0,0.0,0.0,,,0.0,,88.0,,,0.0,,0.0,3.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,,0.0,26.0,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,2.0,0.0,0.0,1.0,0.0,35.0,0.0,20170703,20170702,20170627,20170620,20170604,20170104,0.00878167078724684,0.018683553207256717,23.69136024359529,26.209011601015135,36.26312495860765,258.37504400582543,0.00878167078724684,0.018683553207256717,15.561110293560274,15.578677946942296,15.851108241557107,17.3846490642748,2.17565797750513,3.61460738054155,4.958826236483884,5.675346563785428,7.666367405033107,9.964355088465618,2.17565797750513,2.89513267902334,3.4830312943034256,3.9744268595275827,3.936405871925545,3.742269527126291,2.58321859874149e-06,0.4396912909406979,0.43149648766784504,0.024905213198632613,2.8623322208126796
15,W4 Heerewaarden,0,20170930,273.0,272.0,0.0,1.0,10.0,1.0,5.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,0.0,2.0,0.0,6.0,31.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,9.0,20.0,19.0,7.0,0.0,5.0,,,2.0,,29.0,,,1.0,,1.0,5.0,,0.0,,1.0,0.0,,,,,,1.0,0.0,2.0,1.0,2.0,2.0,10.0,0.0,2.0,3.0,9.0,2.0,1.0,3.0,5.0,,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,7.0,,4.0,,,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,1.0,0.0,207.0,3.0,15.0,25.0,4.0,1.0,10.0,10.0,1.0,20170929,20170928,20170923,20170916,20170830,20170330,4.533922856216258,12.396541698408758,15.279438736003618,22.825044932374425,114.55246776191598,393.89734335468773,4.533922856216258,9.562531335436395,9.780786891537964,11.386161220651523,26.23620134245118,35.10646854123403,2.334160251688696,3.1143151190500933,3.1857152431322553,3.4468580333197476,9.248546848673623,9.305889484410182,2.334160251688696,2.721668582165138,2.59792917671103,2.42666527232759,3.5480596490905443,3.625274512887263,0.002204922465087188,0.0002588803519088596,0.1967141980005718,1.129948051418773,0.26312403066509593
